# CLDR emoji suggestions — REVIEW BEFORE USE, never auto-apply.
# Keep a line by adding  "<lemma>": "<emoji>"  to a JSON map for gloss3.py --emoji-map.
# Empty beats bad: when in doubt, leave the lemma out.
abgraben	abgraben = dig off	🪏 (en:dig)
abtun	abtun = dismiss	🫳 (en:dismiss)
alsbald	alsbald = soon afterwards	🔜 (en:soon)
anblicken	anblicken = look at	👀 (en:look)
anerbietung	Anerbietung = offer	🫴 (en:offer)
anführen	anführen = pull sb.'s leg, have on sb., put on sb.	🦵 (en:leg)  🦿 (en:leg)  🍗 (en:leg)
anschlagen	anschlagen = chip	🍪 (en:chip)
ansteigen	ansteigen = rise	🐦‍🔥 (en:rise)  💹 (en:rise)
appetitlich	appetitlich = delicious	😋 (en:delicious)  🍴 (en:delicious)
aufatmen	aufatmen = breathe again	🫁 (en:breathe)
aufgebläht	aufgebläht = expanded, inflated, distended	🫃 (de:aufgebläht)  🫄 (de:aufgebläht)
aufhorchend	aufhorchend = listening attentively	👂 (en:listening)
aufrüsten	aufrüsten = arm yourself heavily	💪 (en:arm)  🦾 (en:arm)
aufschlagen	aufschlagen = strike	🎳 (en:strike)
aufschreien	aufschreien = cry out	🥹 (en:cry)  😢 (en:cry)  😭 (en:cry)
aufspannen	aufspannen = clamp, mount	🗜 (en:clamp)  🗻 (en:mount)
aufspringen	aufspringen = break open, burst open, dehisce	💔 (en:break)  🔔 (en:break)  ⛓‍💥 (en:break)
ausbrechen	ausbrechen = chip	🍪 (en:chip)
ausbreiten	ausbreiten = set out	📐 (en:set)
ausfahren	ausfahren = go for a drive, go for a run in the car	🚐 (en:drive)  🚕 (en:drive)  🚙 (en:drive)
ausgebreitet	ausgebreitet = set out	📐 (en:set)
ausgestreckt	ausgestreckt = outstretched	🫱 (de:ausgestreckt)  🫲 (de:ausgestreckt)
auslöschen	auslöschen = blow out	😮‍💨 (en:blow)  🍃 (en:blow)  🌬 (en:blow)
ausreißen	ausreißen = run away from home, abscond from home	🏃 (en:run)  🏃‍♂ (en:run)  🏃‍♀ (en:run)
aussinnen	aussinnen = engineer sth., craft sth., concoct sth.	🧑‍🔬 (en:engineer)  👨‍🔬 (en:engineer)  👩‍🔬 (en:engineer)
badekur	Badekur = balneation, balnear therapy, balneotherapy	💆 (en:therapy)  💆‍♂ (en:therapy)  💆‍♀ (en:therapy)
barmherzigkeit	Barmherzigkeit = mercy, compassion	🥺 (en:mercy)
baumwurzel	Baumwurzel = tree root	🌲 (en:tree)  🌳 (en:tree)  🌴 (en:tree)
beben	beben = tremble, shake, quake	🙂‍↔ (en:shake)  🫱 (en:shake)  🫲 (en:shake)
beharrlich	beharrlich = persevering	😣 (en:persevering)
behausung	Behausung = dwelling place, place of residence, residence	🛖 (de:behausung)  🥇 (en:place)  🥈 (en:place)
beherzigt	beherzigt = heeded, taken heed of, paid heed to	🤑 (en:paid)  💰 (en:paid)
berggipfel	Berggipfel = mountain top, mountain summit	🎩 (en:top)  🔝 (en:top)
bergluft	Bergluft = mountain air	🪟 (en:air)
bergspitze	Bergspitze = mountain peak, mountain top, hilltop	🎩 (en:top)  🔝 (en:top)
besen	Besen = shrew, hellcat, harpy	🧹 (de:besen)
besteigen	besteigen = climb	🧗 (en:climb)  🧗‍♂ (en:climb)  🧗‍♀ (en:climb)
bewunderung	Bewunderung = admiration	🥹 (en:admiration)
blasend	blasend = blowing	😘 (en:blowing)  😮‍💨 (en:blowing)
blitzen	blitzen = take a flash photo, use a flash	📸 (en:flash)  📷 (en:photo)
blitzschnell	blitzschnell = lightning	⛈ (en:lightning)  🌩 (en:lightning)  ⚡ (en:lightning)
bogenfenster	Bogenfenster = arched window	🪟 (en:window)
bretterverschlag	Bretterverschlag = wooden pen	🖊 (en:pen)  ✒ (en:pen)  🖋 (en:pen)
brotschnitte	Brotschnitte = slice of bread	🍕 (en:slice)  🍰 (en:slice)  🥧 (en:slice)
bube	Bube = jack, knave	🎃 (en:jack)
buttern	buttern = churn butter	🧈 (en:butter)
bösewicht	Bösewicht = bad guy, badman, baddy	🦹 (de:bösewicht)  🦹‍♂ (de:bösewicht)  🦹‍♀ (de:bösewicht)
daherkommen	daherkommen = come along	🫴 (en:come)
dampfend	dampfend = reeky	🍜 (de:dampfend)  ☕ (de:dampfend)  ♨ (de:dampfend)
dartun	dartun = set forth, demonstrate, state	📐 (en:set)
dastehen	dastehen = stand there	🧍 (en:stand)  🧍‍♂ (en:stand)  🧍‍♀ (en:stand)
davonfliegen	davonfliegen = fly away	🪰 (en:fly)  🕊 (en:fly)  🪽 (en:fly)
desertieren	desertieren = desert from the army, desert the colours/colors, desert	🏜 (en:desert)  🐪 (en:desert)  🐫 (en:desert)
desgleichen	desgleichen = likewise, just as, just like	🩷 (en:like)  🩵 (en:like)  👍 (en:like)
duften	duften = smell	👃 (en:smell)  🐽 (en:smell)
dunkelblau	dunkelblau = dark blue, deep blue	🏿 (en:dark)  🌑 (en:dark)  🕶 (en:dark)
durchdringen	durchdringen = come through, get through	🫴 (en:come)
durchhauen	durchhauen = beat	🫀 (en:beat)  🪘 (en:beat)
durchsichtig	durchsichtig = diaphanous, translucent, sheer	🪟 (de:durchsichtig)
eidechse	Eidechse = lizard	🦎 (de:eidechse)
eilen	eilen = hurry	🏃 (en:hurry)  🏃‍♂ (en:hurry)  🏃‍♀ (en:hurry)
eilends	eilends = in a hurry	🏃 (en:hurry)  🏃‍♂ (en:hurry)  🏃‍♀ (en:hurry)
eingangstür	Eingangstür = entrance door, front door	🚪 (en:door)
einläuten	einläuten = ring in	💍 (en:ring)  🤼 (en:ring)  🤼‍♂ (en:ring)
einsperren	einsperren = pen up, pen in, pen	🖊 (en:pen)  ✒ (en:pen)  🖋 (en:pen)
einwickeln	einwickeln = wrap, wrap up	🌯 (en:wrap)
eisberg	Eisberg = iceberg, berg	🧊 (de:eisberg)
empor	empor = up, upwards, upward	🔼 (en:upwards)  💹 (en:upward)  📈 (en:upward)
emporsteigen	emporsteigen = rise	🐦‍🔥 (en:rise)  💹 (en:rise)
entbehren	entbehren = miss sb./sth.	😘 (en:miss)  😢 (en:miss)
enteilen	enteilen = hurry away, hasten away	🏃 (en:hurry)  🏃‍♂ (en:hurry)  🏃‍♀ (en:hurry)
entgegnen	entgegnen = answer, reply, respond	🟰 (en:answer)
erbitten	erbitten = ask for	🙏 (en:ask)  🙇 (en:ask)  🙇‍♂ (en:ask)
erfrieren	erfrieren = freeze to death	🥶 (de:erfrieren)  💀 (en:death)  ☠ (en:death)
erglänzen	erglänzen = shine, gleam, shine out	🌞 (en:shine)
ermahnen	ermahnen = urging, exhorting	🤫 (de:ermahnen)
ernstlich	ernstlich = serious	👔 (en:serious)
erretten	erretten = rescue	🛟 (en:rescue)  ⛑ (en:rescue)
erstaunen	Erstaunen = amazement	🫢 (de:erstaunen)
erwidern	erwidern = answer, reply, respond	🟰 (en:answer)
esszimmer	Esszimmer = dining room	🧖 (en:room)  🧖‍♂ (en:room)  🧖‍♀ (en:room)
fausten	fausten = fist	✊ (en:fist)  👊 (en:fist)  🤛 (en:fist)
fechten	fechten = fence	🤺 (de:fechten)
