agatha	Agatha
aiguilles	aiguilles
albertus	Albertus
alphonse	Alphonse
answere	answered
arrowy	arrowy
arveiron	Arveiron
aske	asked
assaile	assailed
assemblance	assemblance
beaufort	Beaufort
bego	Begone
belrive	Belrive
betake	betook
campagne	campagne
canst	canst
chamounix	Chamounix
chêne	Chêne
claime	claimed
clerval	Clerval
como	Como
confirme	confirmed
coupar	Coupar
cæsar	Cæsar
deposite	deposited
determin	determining
develope	developed
didst	didst
dispell	dispelled, dispelling
doth	Doth
drance	Drance
drenche	drenched
drivest	drivest
dæmon	dæmon
dæmons	dæmons
dôme	dôme
embosom	embosomed
entrancingly	entrancingly
evian	Evian
exemplifie	exemplified
experimentalist	experimentalist
falkland	Falkland
fishers	fishers
fixe	fixed, fixing
frementi	frementi
fthyself	thyself
gan	gone
gravesend	Gravesend
grecians	Grecians
guarde	guarded
hadst	hadst
hampden	Hampden
hast	hast
havre	Havre
howlings	howlings
inasmuch	inasmuch
indebt	indebted
infallibly	infallibly
infantine	infantine
ingolstadt	Ingolstadt
injurer	injurer
krempe	Krempe
lacey	Lacey
laughe	laughed, laughing
lavenza	Lavenza
lawgivers	lawgivers
leathern	leathern
longe	longed
lovedst	lovedst
magnus	Magnus
mainz	Mainz
maladie	maladie
manoir	Manoir
mont	Mont
montalègre	Montalègre
moritz	Moritz
ne’er	ne’er
ognor	ognor
orkneys	Orkneys
outstript	outstript
overweigh	overweigh
owest	owest
pandæmonium	Pandæmonium
perfectionate	perfectionate
piny	piny
playe	played, playing
playfellows	playfellows
preferr	preferred
proportionably	proportionably
protectress	protectress
pélissier	Pélissier
r.w.	R.W.
regarde	regarded, regarding
remembrancers	remembrancers
repass	repassed
rin	ran
roarings	roarings
sacre	sacred
safie	Safie
salêve	Salêve
schiavi	schiavi
secheron	Secheron
siroc	siroc
smoothe	smoothed
springe	springing
sweare	swore
syndics	syndics
talke	talked, talking
tavernier	Tavernier
thanke	thanked
thine	thine
thinke	thinking
throbbings	throbbings
tiding	tidings
tintern	Tintern
travell	travelled, travelling
trod	trod
unabate	unabated
unacquaint	unacquainted
unadept	unadept
unallied	unallied
unborrow’d	Unborrow’d
uncheck	unchecked
unemploy	unemployed
unexplore	unexplored
unfashioned	unfashioned
unfolde	unfolded, unfolding
unform	unformed
ungazed	ungazed
ungratitude	ungratitude
unguard	unguarded
unknow	unknown
unmingle	unmingled
unobserving	unobserving
unplastered	unplastered
unprotect	unprotected
unqualify	unqualified
unquench	unquenched
unremitted	unremitted
unsee	unseen
unsoftened	unsoftened
unsully	unsullied
unsympathised	unsympathised
unvisited	unvisited
unwill	unwilling
vaud	Vaud
visitings	visitings
volney	Volney
wand’ring	wand’ring
wert	wert
werter	Werter
whither	whither
winge	winged
wouldst	wouldst
yesternight	yesternight
